id,authors,description,number,rubygem_id,built_at,updated_at,summary,platform,created_at,indexed,prerelease,position,latest,full_name,licenses,size,requirements,required_ruby_version,sha256,metadata,required_rubygems_version,yanked_at,info_checksum,yanked_info_checksum,pusher_id,canonical_number,cert_chain,pusher_api_key_id,gem_platform,gem_full_name,spec_sha256
1950010,Amazon Web Services,"Provides interfaces to enumerate AWS partitions, regions, and services.",1.1201.0,153981,1980-01-02 00:00:00,2026-01-07 20:19:21.909362,"Provides information about AWS partitions, regions, and services.",ruby,2026-01-07 20:19:18.623214,t,f,2,f,aws-partitions-1.1201.0,"---
- Apache-2.0
",82944,"--- []
",>= 2.7,SnYJTXEKTZZ4g3zxFH32ZW6cLJTQfOWlEmjbFvLHhwE=,"""changelog_uri""=>""https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-partitions/CHANGELOG.md"", ""source_code_uri""=>""https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-partitions""",>= 0,,c150e718d236bb1402efe1623cc2d76a,,51280,1.1201,,247711,ruby,aws-partitions-1.1201.0,3XwU1tHweSZ1IPy2275IE4w39W2AFsxUTltUS+chfv8=
1950011,Amazon Web Services,Provides API clients for AWS. This gem is part of the official AWS SDK for Ruby.,3.241.2,87352,1980-01-02 00:00:00,2026-01-07 20:20:01.547277,AWS SDK for Ruby - Core,ruby,2026-01-07 20:19:58.62,t,f,1,f,aws-sdk-core-3.241.2,"---
- Apache-2.0
",416768,"--- []
",>= 2.7,n2z0qXMXUp+x8o+AU+Ctdzq3sT5R4ESEO4nNbW17HJ8=,"""changelog_uri""=>""https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-core/CHANGELOG.md"", ""source_code_uri""=>""https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-core""",>= 0,,ecd3349ca5e52c8d4866663bceaf7c51,,51280,3.241.2,,247711,ruby,aws-sdk-core-3.241.2,jBUOc8+sSvxc/NBbZxMlf55hWjUkl0eC2klzVsb4GDQ=
1950012,Amazon Web Services,Official AWS Ruby gem for Amazon WorkSpaces. This gem is part of the AWS SDK for Ruby.,1.150.0,154057,1980-01-02 00:00:00,2026-01-07 20:20:38.524166,AWS SDK for Ruby - Amazon WorkSpaces,ruby,2026-01-07 20:20:37.535133,t,f,1,f,aws-sdk-workspaces-1.150.0,"---
- Apache-2.0
",120832,"--- []
",>= 2.7,FoXOdIBuquaWhLrLGdlRrOlJShujOkxcCekr20xKzmU=,"""changelog_uri""=>""https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-workspaces/CHANGELOG.md"", ""source_code_uri""=>""https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-workspaces""",>= 0,,842a34f09bf7fd4da4c813a9f2f6ee74,,51280,1.150,,247711,ruby,aws-sdk-workspaces-1.150.0,Ej2s9KfEOGs2kTLtxWb2DYCmxaXSq7ENoee7hE9L3Ts=
1950013,Cybrid,View our documentation at https://github.com/Cybrid-app/cybrid-api-id-ruby/,0.126.18,206557,1980-01-02 00:00:00,2026-01-07 20:26:36.719614,Cybrid Identity API Ruby Gem,ruby,2026-01-07 20:26:32.877997,t,f,23,f,cybrid_api_id_ruby-0.126.18,"---
- Apache-2.0
",8744448,"--- []
",>= 2.4,eYXayMoJC0ZTew/axuLWnQjD93Rtg2pSvb+YbyBJkG8=,"",>= 0,,d4d1bd77936a649460f79a9eef098001,,168654,0.126.18,,165298,ruby,cybrid_api_id_ruby-0.126.18,QvwBOeCBEgTDlMTaYkjlGmTbclixtzP1c/9RjX9gEPc=
1950014,David Heinemeier Hansson,,2.2.3,202177,1980-01-02 00:00:00,2026-01-07 20:26:38.637342,Use ESM with importmap to manage modern JavaScript in Rails without transpiling or bundling.,ruby,2026-01-07 20:26:37.175249,t,f,0,t,importmap-rails-2.2.3,"---
- MIT
",20992,"--- []
",>= 3.1.0,cQG+Kk3JfPFVj7j1c6cYQExfa8/pTzBL8fOeRE/usWo=,"""homepage_uri""=>""https://github.com/rails/importmap-rails"", ""source_code_uri""=>""https://github.com/rails/importmap-rails""",>= 0,,469a7d3ebb6062cf95d5be86614b44f7,,47349,2.2.3,,248210,ruby,importmap-rails-2.2.3,B/ybHL24AAdfq6xQJ/Z4+k1ZVxLTPWoT12ec1byp4/U=
1950015,Cybrid,View our documentation at https://github.com/Cybrid-app/cybrid-api-organization-ruby/,0.126.18,206556,1980-01-02 00:00:00,2026-01-07 20:26:53.565725,Cybrid Organization API Ruby Gem,ruby,2026-01-07 20:26:50.443488,t,f,23,f,cybrid_api_organization_ruby-0.126.18,"---
- Apache-2.0
",8748544,"--- []
",>= 2.4,vqW0W0InXbnLwXNnXyXcZ5f3xCNqeU4+GXLYrUnMuRE=,"",>= 0,,54a4f6d3b2e934f9bb998bafaf3e3930,,168654,0.126.18,,165298,ruby,cybrid_api_organization_ruby-0.126.18,VWno+d5+3kfCW7FWTsKj+V9zw9WG2BB/4QzAg1uqjoA=
1950016,Cybrid,View our documentation at https://github.com/Cybrid-app/cybrid-api-bank-ruby/,0.126.18,206558,1980-01-02 00:00:00,2026-01-07 20:27:15.180112,Cybrid Bank API Ruby Gem,ruby,2026-01-07 20:27:12.147814,t,f,23,f,cybrid_api_bank_ruby-0.126.18,"---
- Apache-2.0
",9187328,"--- []
",>= 2.4,kpNIALbNH6qCXdfssgP9qfVN5TNy3RZSay7AqlFEGIA=,"",>= 0,,aac93c326e6441a09d0abca71f356e8e,,168654,0.126.18,,165298,ruby,cybrid_api_bank_ruby-0.126.18,OX8gOXD47f/HMWTaqPj9PjhDGN6Eu5SorSu0ERX/Wec=
1950017,OpenAPI-Generator,"Fetch, Upload, Organize, and Distribute Software Packages",3.34.0,184270,2026-01-07 00:00:00,2026-01-07 20:29:53.746312,Pulp 3 API Ruby Gem,ruby,2026-01-07 20:29:51.628248,t,f,0,t,pulp_rpm_client-3.34.0,"---
- GPLv2+
",162816,"--- []
",>= 2.7,uRnKos1RqSP7a5zoXszk80mQMVYrsm8LcErOrBteUYQ=,"",>= 0,,20cb5803fa544d0b95281584317c5f53,,,3.34,,248211,ruby,pulp_rpm_client-3.34.0,FpV+uEbFykiYwAqOoUACDgL/3NDfc/9Q8IOKoOmlzx0=
1950018,Vellum,The Vellum Ruby Library provides access to the Vellum API from Ruby.,1.12.10,216293,2026-01-07 00:00:00,2026-01-07 20:32:43.169154,The Vellum Ruby Library provides access to the Vellum API from Ruby.,ruby,2026-01-07 20:32:42.157601,t,f,2,f,vellum_ai-1.12.10,"---
- MIT
",189952,"--- []
",>= 2.7.0,1VghT0Xv2FFqsurrcE7J28LZzb9EUv1zsdHcki0zzCo=,"""homepage_uri""=>""https://github.com/vellum-ai/vellum-client-ruby"", ""changelog_uri""=>""https://github.com/vellum-ai/vellum-client-ruby/blob/master/CHANGELOG.md"", ""source_code_uri""=>""https://github.com/vellum-ai/vellum-client-ruby""",>= 0,,152debfd91e9ba146493a5ffe71313f0,,187954,1.12.10,,186177,ruby,vellum_ai-1.12.10,ajEgLl33BdP/MBsvy63btQvaaIzu1/W9PSuvvYzfHLA=
1950019,Stripe,Stripe is the easiest way to accept payments online.  See https://stripe.com for details.,18.2.0.pre.alpha.2,43921,2026-01-07 00:00:00,2026-01-07 20:33:59.13358,Ruby bindings for the Stripe API,ruby,2026-01-07 20:33:57.440266,t,t,1,f,stripe-18.2.0.pre.alpha.2,"---
- MIT
",2644992,"--- []
",>= 2.6.0,gQd0e5xS92HvC22jbRbUYufMODIQXdWs1R4n8W8pwiY=,"""github_repo""=>""ssh://github.com/stripe/stripe-ruby"", ""homepage_uri""=>""https://stripe.com/docs/api?lang=ruby"", ""changelog_uri""=>""https://github.com/stripe/stripe-ruby/blob/master/CHANGELOG.md"", ""bug_tracker_uri""=>""https://github.com/stripe/stripe-ruby/issues"", ""source_code_uri""=>""https://github.com/stripe/stripe-ruby"", ""documentation_uri""=>""https://stripe.com/docs/api?lang=ruby"", ""rubygems_mfa_required""=>""false""",> 1.3.1,,ccea6245003ea0c6262a938e33f7dd64,,51266,18.2.pre.alpha.2,,51122,ruby,stripe-18.2.0.pre.alpha.2,uOeA+X/s6oNJ/y46+suaD8WGaSXQCAywVoJ6But61C4=
1950020,Soutaro Matsumoto,RBS is the language for type signatures for Ruby and standard library definitions.,3.10.2,63953,1980-01-02 00:00:00,2026-01-07 20:38:14.839724,Type signature for Ruby.,ruby,2026-01-07 20:38:13.766497,t,f,5,t,rbs-3.10.2,"---
- BSD-2-Clause
- Ruby
",1173504,"--- []
",>= 3.1,vYpdxMYvIp8CAUa2GESjH5x55klEnSEpBKR063nIRvw=,"""homepage_uri""=>""https://github.com/ruby/rbs"", ""changelog_uri""=>""https://github.com/ruby/rbs/blob/master/CHANGELOG.md"", ""source_code_uri""=>""https://github.com/ruby/rbs.git""",>= 0,,3c630c3ade1702690e370b289583348c,,32486,3.10.2,,212992,ruby,rbs-3.10.2,6RuyDO1ENdGUi4V5Rxrg1d7Gfv5YZZkMdiafAqhmu5Y=
1950021,Soutaro Matsumoto,RBS is the language for type signatures for Ruby and standard library definitions.,4.0.0.dev.5,63953,1980-01-02 00:00:00,2026-01-07 20:39:58.008806,Type signature for Ruby.,ruby,2026-01-07 20:39:57.188783,t,t,0,f,rbs-4.0.0.dev.5,"---
- BSD-2-Clause
- Ruby
",1206784,"--- []
",>= 3.2,Jzk45anH8GsEG+WDWI8qoZdhSb2iziE+M+EpxRU04XQ=,"""homepage_uri""=>""https://github.com/ruby/rbs"", ""changelog_uri""=>""https://github.com/ruby/rbs/blob/master/CHANGELOG.md"", ""source_code_uri""=>""https://github.com/ruby/rbs.git""",>= 0,,a7879694faaf3ffd5bd65f0e9b366474,,32486,4.dev.5,,212992,ruby,rbs-4.0.0.dev.5,cOPtMGwgZGsEd0MlOlN/eD7IWiKroUN8TYtZGJfhdEU=
1950022,Joel Larsson,Create and validate HTTP Message Signatures according to RFC 9421: https://www.rfc-editor.org/rfc/rfc9421.html,1.0.1,172557,1980-01-02 00:00:00,2026-01-07 20:40:34.662086,Create and validate HTTP Message Signatures,ruby,2026-01-07 20:40:33.76345,t,f,1,f,http_signature-1.0.1,"---
- MIT
",13824,"--- []
",>= 3.0.0,MoDEUaSJRLFE/1TUOAGR+76spq9C0Kf2e+9azcUSWLc=,"",>= 0,,1ed4e0852a6437fd980c5b05d0f578b3,,,1.0.1,,248213,ruby,http_signature-1.0.1,4DLtwxwNdrHMjIosxhURX0nonDIAoXleNc1a7qof1aM=
1950023,Tencent Cloud,"Tencent Cloud Ruby SDK is the official software development kit, which allows Ruby developers to write software that makes use of Tencent Cloud service CDB.",3.0.1198,203821,2026-01-07 00:00:00,2026-01-07 20:42:21.252713,Tencent Cloud SDK for Ruby - CDB,ruby,2026-01-07 20:42:18.240408,t,f,0,t,tencentcloud-sdk-cdb-3.0.1198,"---
- Apache-2.0
",126976,"--- []
",>= 0,PPKMArntEnqkPXG+iN/CKzFIfDHpweWb/yiwMwQYX10=,"""changelog_uri""=>""https://github.com/TencentCloud/tencentcloud-sdk-ruby/blob/master/CHANGELOG.md"", ""source_code_uri""=>""https://github.com/TencentCloud/tencentcloud-sdk-ruby/tencentcloud-sdk-cdb""",>= 0,,c42ac42c83ef574347761d711feff070,,150749,3.0.1198,,160719,ruby,tencentcloud-sdk-cdb-3.0.1198,7hZCplJ4jq+kLe0oefv9QyJR8f0D4tgHM3lLsER5xuE=
1950024,Tencent Cloud,"Tencent Cloud Ruby SDK is the official software development kit, which allows Ruby developers to write software that makes use of Tencent Cloud service CLB.",3.0.1198,203798,2026-01-07 00:00:00,2026-01-07 20:42:25.218512,Tencent Cloud SDK for Ruby - CLB,ruby,2026-01-07 20:42:23.38896,t,f,0,t,tencentcloud-sdk-clb-3.0.1198,"---
- Apache-2.0
",84992,"--- []
",>= 0,v7MGvAXwMXtqZTiak5GRI3gCTqIF4etUfFAA0hpZCTs=,"""changelog_uri""=>""https://github.com/TencentCloud/tencentcloud-sdk-ruby/blob/master/CHANGELOG.md"", ""source_code_uri""=>""https://github.com/TencentCloud/tencentcloud-sdk-ruby/tencentcloud-sdk-clb""",>= 0,,2671be89d022788a0d60492e273d123a,,150749,3.0.1198,,160719,ruby,tencentcloud-sdk-clb-3.0.1198,kw5iVZKHtZrowcEa4xCGNj2k5IavPqVQz4UCEVN4ppc=
1950025,Tencent Cloud,"Tencent Cloud Ruby SDK is the official software development kit, which allows Ruby developers to write software that makes use of Tencent Cloud service.",3.0.1198,200527,2026-01-07 00:00:00,2026-01-07 20:42:28.664669,Tencent Cloud SDK for Ruby - Common,ruby,2026-01-07 20:42:26.884021,t,f,2,f,tencentcloud-sdk-common-3.0.1198,"---
- Apache-2.0
",9728,"--- []
",>= 0,/RZyvzfd7uKpGDDE1L7UQZS9svdoRa+DnzaNw6ioC9k=,"""changelog_uri""=>""https://github.com/TencentCloud/tencentcloud-sdk-ruby/blob/master/CHANGELOG.md"", ""source_code_uri""=>""https://github.com/TencentCloud/tencentcloud-sdk-ruby/tencentcloud-sdk-common""",>= 0,,ae21eb8bc09132d89383587b6297c1b2,,150749,3.0.1198,,160719,ruby,tencentcloud-sdk-common-3.0.1198,6+SlZ6VUzsN/ti/2ba9K+p/Eh1vSkLItCHxqXEr13io=
1950026,Tencent Cloud,"Tencent Cloud Ruby SDK is the official software development kit, which allows Ruby developers to write software that makes use of Tencent Cloud service CVM.",3.0.1198,203354,2026-01-07 00:00:00,2026-01-07 20:42:32.144939,Tencent Cloud SDK for Ruby - CVM,ruby,2026-01-07 20:42:31.013234,t,f,1,f,tencentcloud-sdk-cvm-3.0.1198,"---
- Apache-2.0
",96768,"--- []
",>= 0,2zGm3eovqg1bmvBxIwrdinQw+EQxaBcJl4ZbTZkZPJs=,"""changelog_uri""=>""https://github.com/TencentCloud/tencentcloud-sdk-ruby/blob/master/CHANGELOG.md"", ""source_code_uri""=>""https://github.com/TencentCloud/tencentcloud-sdk-ruby/tencentcloud-sdk-cvm""",>= 0,,4020c0a0ccec983b59f5d96dcc18e1c6,,150749,3.0.1198,,160719,ruby,tencentcloud-sdk-cvm-3.0.1198,sPku2sV4ZhT27M2+TFdQMk6alclQec+oV3H5Jbol/rg=
1950027,Tencent Cloud,"Tencent Cloud Ruby SDK is the official software development kit, which allows Ruby developers to write software that makes use of Tencent Cloud service CWP.",3.0.1198,203709,2026-01-07 00:00:00,2026-01-07 20:42:35.480757,Tencent Cloud SDK for Ruby - CWP,ruby,2026-01-07 20:42:34.306387,t,f,1,f,tencentcloud-sdk-cwp-3.0.1198,"---
- Apache-2.0
",232448,"--- []
",>= 0,xM/8l8AGWLaLlMpOIgsNVLFAcEOwOBgrhbJjgaE7yU8=,"""changelog_uri""=>""https://github.com/TencentCloud/tencentcloud-sdk-ruby/blob/master/CHANGELOG.md"", ""source_code_uri""=>""https://github.com/TencentCloud/tencentcloud-sdk-ruby/tencentcloud-sdk-cwp""",>= 0,,09b4f71293ca67a7cb290291b8f323c0,,150749,3.0.1198,,160719,ruby,tencentcloud-sdk-cwp-3.0.1198,4ePj+1HP7CMljhU425QpEmmIROnWv2r49Egdfe8GVf0=
1950028,Tencent Cloud,"Tencent Cloud Ruby SDK is the official software development kit, which allows Ruby developers to write software that makes use of Tencent Cloud service DATAAGENT.",3.0.1198,238170,2026-01-07 00:00:00,2026-01-07 20:42:38.038955,Tencent Cloud SDK for Ruby - DATAAGENT,ruby,2026-01-07 20:42:37.300393,t,f,1,f,tencentcloud-sdk-dataagent-3.0.1198,"---
- Apache-2.0
",13312,"--- []
",>= 0,U1BFZjkfLQGEMBrrgevzlD/S9+QYLDgFJOPj2G/MbyU=,"""changelog_uri""=>""https://github.com/TencentCloud/tencentcloud-sdk-ruby/blob/master/CHANGELOG.md"", ""source_code_uri""=>""https://github.com/TencentCloud/tencentcloud-sdk-ruby/tencentcloud-sdk-dataagent""",>= 0,,c0115a2b48e510d961cbd87c4b838a07,,150749,3.0.1198,,160719,ruby,tencentcloud-sdk-dataagent-3.0.1198,iKf8iGin148RwvSscTzU5IsBE/pvKrc1ZOdDrfbs33k=
